ori,agency_type_name,EDITED,agency_name [EDIT THIS COLUMN],pub_agency_name,icpsr_name
AR0180100,City,,West Memphis Police Department,West Memphis,West Memphis Police Department
AR0180200,City,,Earle Police Department,Earle,Earle Police Department
AR0180400,City,,Marion Police Department,Marion,Marion Police Department
AR0190000,County,,Cross County Sheriff's Department,Cross,Cross County Sheriff's Office
AR0190100,City,,Wynne Police Department,Wynne,Wynne Police Department
AR0190200,City,,Parkin Police Department,Parkin,Parkin Police Department
AR0200000,County,,Dallas County Sheriff's Department,Dallas,Dallas County Sheriff's Office
AR0200100,City,,Fordyce Police Department,Fordyce,Fordyce Police Department
AR0210000,County,,Desha County Sheriff's Department,Desha,Desha County Sheriff's Office
AR0210100,City,,McGehee Police Department,McGehee,Mcgehee Police Department
AR0210200,City,,Arkansas City Police Department,Arkansas City,Arkansas City Police Department
AR0210300,City,,Dumas Police Department,Dumas,Dumas Police Department
AR0220000,County,,Drew County Sheriff's Department,Drew,Drew County Sheriff's Office
AR0220100,City,,Monticello Police Department,Monticello,Monticello Police Department
AR0220300,University or College,,University of Arkansas: Monticello,University of Arkansas: Monticello,University Of Arkansas - Monticello Police
AR0230000,County,,Faulkner County Sheriff's Department,Faulkner,Faulkner County Sheriff's Office
AR0230100,City,,Conway Police Department,Conway,Conway Police Dept
AR0230200,City,,Greenbrier Police Department,Greenbrier,Greenbrier Police Department
AR0230300,City,,Mayflower Police Department,Mayflower,Mayflower Police Department
AR0230400,City,,Vilonia Police Department,Vilonia,Vilonia Police Department
AR0230500,City,,Guy Police Department,Guy,Guy Police Department
AR0230600,University or College,,University of Central Arkansas,University of Central Arkansas,University Of Central Arkansas Police
AR0240000,County,,Franklin County Sheriff's Department,Franklin,Franklin County Sheriff's Office
AR0240100,City,,Ozark Police Department,Ozark,Ozark Police Department
AR0240200,City,,Charleston Police Department,Charleston,Charleston Police Department
AR0240300,City,,Altus Police Department,Altus,Altus Police Dept
AR0250000,County,,Fulton County Sheriff's Department,Fulton,Fulton County Sheriff's Office
AR0250100,City,,Salem Police Department,Salem,Salem Police Department
AR0250200,City,,Mammoth Spring Police Department,Mammoth Spring,Mammoth Spring Police Department
AR0260000,County,,Garland County Sheriff's Department,Garland,Garland County Sheriff's Office
AR0260100,City,,Hot Springs Police Department,Hot Springs,Hot Springs Police Department
AR0260300,City,,Mountain Pine Police Department,Mountain Pine,Mountain Pine Police Department
AR0270000,County,,Grant County Sheriff's Department,Grant,Grant County Sheriff's Office
AR0270100,City,,Sheridan Police Department,Sheridan,Sheridan Police Department
AR0280000,County,,Greene County Sheriff's Department,Greene,Greene County Sheriff's Office
AR0280100,City,,Paragould Police Department,Paragould,Paragould Police Department
AR0280200,City,,Marmaduke Police Department,Marmaduke,Marmaduke Police Department
AR0290000,County,,Hempstead County Sheriff's Department,Hempstead,Hempstead County Sheriff's Office
AR0290100,City,,Hope Police Department,Hope,Hope Police Department
AR0300000,County,,Hot Spring County Sheriff's Department,Hot Spring,Hot Spring County Sheriff's Office
AR0300100,City,,Malvern Police Department,Malvern,Malvern Police Department
AR0300300,City,,Rockport Police Department,Rockport,Rockport Police Department
AR0310000,County,,Howard County Sheriff's Department,Howard,Howard County Sheriff's Office
AR0310100,City,,Nashville Police Department,Nashville,Nashville Police Department
AR0310200,City,,Dierks Police Department,Dierks,Dierks Police Department
AR0310400,City,,Mineral Springs Police Department,Mineral Springs,Mineral Springs Police Department
AR0320000,County,,Independence County Sheriff's Department,Independence,Independence County Sheriff's Office
AR0320100,City,,Batesville Police Department,Batesville,Batesville Police Department
AR0320200,City,,Newark Police Department,Newark,Newark PD
AR0320300,City,,Newark Police Department,Newark,
AR0330000,County,,Izard County Sheriff's Department,Izard,Izard County Sheriff's Office
AR0330200,City,,Horseshoe Bend Police Department,Horseshoe Bend,Horseshoe Bend Police Dept
AR0340000,County,,Jackson County Sheriff's Department,Jackson,Jackson County Sheriff's Office
AR0340100,City,,Newport Police Department,Newport,Newport Police Department
AR0340200,City,,Tuckerman Police Department,Tuckerman,Tuckerman Police Department
AR0340300,City,,Diaz Police Department,Diaz,Diaz Police Department
AR0340600,City,,Swifton Police Department,Swifton,Swifton Police Department
AR0340700,University or College,,Arkansas State University: Newport,Arkansas State University: Newport,Arkansas State University - Newport Police Dept
AR0350000,County,,Jefferson County Sheriff's Department,Jefferson,Jefferson County Sheriff's Office
AR0350100,City,,Pine Bluff Police Department,Pine Bluff,Pine Bluff Police Department
AR0350200,City,,White Hall Police Department,White Hall,White Hall Police Department
AR0350300,City,,Redfield Police Department,Redfield,Redfield Police Department
AR0350400,University or College,,University of Arkansas: Pine Bluff,University of Arkansas: Pine Bluff,University Of Arkansas - Pine Bluff Dept Of Public
AR0350600,City,,Altheimer Police Department,Altheimer,Altheimer Police Dept
AR0360000,County,,Johnson County Sheriff's Department,Johnson,Johnson County Sheriff's Office
AR0360100,City,,Clarksville Police Department,Clarksville,Clarksville Police Department
AR0360300,City,,Lamar Police Department,Lamar,Lamar Police Department
AR0370000,County,,Lafayette County Sheriff's Department,Lafayette,Lafayette County Sheriff's Office
AR0370200,City,,Stamps Police Department,Stamps,Stamps Police Department
AR0370300,City,,Lewisville Police Department,Lewisville,Lewisville Police Department
AR0380000,County,,Lawrence County Sheriff's Department,Lawrence,Lawrence County Sheriff's Office
AR0380100,City,,Walnut Ridge Police Department,Walnut Ridge,Walnut Ridge Police Department
AR0380200,City,,Hoxie Police Department,Hoxie,Hoxie Police Department
AR0380400,City,,Ravenden Police Department,Ravenden,Ravenden Police Department
AR0380500,City,,Black Rock Police Department,Black Rock,Black Rock Police Department
AR0390000,County,,Lee County Sheriff's Department,Lee,Lee County Sheriff's Office
AR0390100,City,,Marianna Police Department,Marianna,Marianna Police Department
AR0400000,County,,Lincoln County Sheriff's Department,Lincoln,Lincoln County Sheriff's Office
AR0400100,City,,Gould Police Department,Gould,Gould Police Department
AR0400200,City,,Star City Police Department,Star City,Star City Police Department
AR0400300,City,,Grady Police Department,Grady,Grady Police Department
AR0410000,County,,Little River County Sheriff's Department,Little River,Little River County Sheriff's Office
AR0410100,City,,Ashdown Police Department,Ashdown,Ashdown Police Department
AR0410200,City,,Foreman Police Department,Foreman,Foreman Police Department
AR0420000,County,,Logan County Sheriff's Department,Logan,Logan County Sheriff's Office
AR0420100,City,,Booneville Police Department,Booneville,Booneville Police Department
AR0420200,City,,Paris Police Department,Paris,Paris Police Department
AR0420300,City,,Magazine Police Department,Magazine,Magazine Police Department
AR0430000,County,,Lonoke County Sheriff's Department,Lonoke,Lonoke County Sheriff's Office
AR0430100,City,,England Police Department,England,England Police Department
AR0430200,City,,Cabot Police Department,Cabot,Cabot Police Department
AR0430300,City,,Carlisle Police Department,Carlisle,Carlisle Police Department
AR0430400,City,,Lonoke Police Department,Lonoke,Lonoke Police Department
AR0430500,City,,Austin Police Department,Austin,Austin Police Department
AR0430600,City,,Ward Police Department,Ward,Ward Police Department
AR0440000,County,,Madison County Sheriff's Department,Madison,Madison County Sheriff's Office
AR0440100,City,,Huntsville Police Department,Huntsville,Huntsville Police Department
AR0450000,County,,Marion County Sheriff's Department,Marion,Marion County Sheriff's Office
AR0450100,City,,Yellville Police Department,Yellville,Yellville PD
AR0450200,City,,Bull Shoals Police Department,Bull Shoals,Bull Shoals Police Department
AR0450300,City,,Flippin Police Department,Flippin,Flippin Police Department
AR0460000,County,,Miller County Sheriff's Department,Miller,Miller County Sheriff's Office
AR0460100,City,,Texarkana Police Department,Texarkana,Texarkana Police Department
AR0470000,County,,Mississippi County Sheriff's Department,Mississippi,Mississippi County Sheriff's Office
AR0470100,City,,Blytheville Police Department,Blytheville,Blytheville Police Department
AR0470200,City,,Osceola Police Department,Osceola,Osceola Police Department
AR0470300,City,,Leachville Police Department,Leachville,Leachville Police Department
AR0470500,City,,Luxora Police Department,Luxora,Luxora Police Department
AR0470700,City,,Gosnell Police Department,Gosnell,Gosnell Police Department
AR0470800,City,,Keiser Police Department,Keiser,Keiser Police Department
AR0470900,City,,Dell Police Department,Dell,Dell Police Dept
AR0471000,City,,Etowah Police Department,Etowah,Etowah Police Department
AR0480000,County,,Monroe County Sheriff's Department,Monroe,Monroe County Sheriff's Office
AR0480100,City,,Brinkley Police Department,Brinkley,Brinkley Police Department
AR0480200,City,,Clarendon Police Department,Clarendon,Clarendon Police Department
AR0480300,City,,Holly Grove Police Department,Holly Grove,Holly Grove Police Department
AR0490000,County,,Montgomery County Sheriff's Department,Montgomery,Montgomery County Sheriff's Office
AR0500000,County,,Nevada County Sheriff's Department,Nevada,Nevada County Sheriff's Office
AR0500100,City,,Prescott Police Department,Prescott,Prescott Police Department
AR0510000,County,,Newton County Sheriff's Department,Newton,Newton County Sheriff's Office
AR0510100,City,,Jasper Police Department,Jasper,Jasper Police Department
AR0520000,County,,Ouachita County Sheriff's Department,Ouachita,Ouachita County Sheriff's Office
AR0520100,City,,Camden Police Department,Camden,Camden Police Department
AR0520200,City,,Bearden Police Department,Bearden,Bearden Police Department
AR0520300,City,,Stephens Police Department,Stephens,Stephens Police Department
AR0520600,University or College,,Southern Arkansas University Tech,Southern Arkansas University Tech,Southern Arkansas University Tech Police Dept
AR0530000,County,,Perry County Sheriff's Department,Perry,Perry County Sheriff's Office
AR0530100,City,,Perryville Police Department,Perryville,Perryville Police Department
AR0540000,County,,Phillips County Sheriff's Department,Phillips,Phillips County Sheriff's Office
AR0540100,City,,Helena-West Helena Police Department,Helena-West Helena,Helena/West Helena Police Department
AR0540200,City,,West Helena Police Department,West Helena,West Helena Police Dept
AR0540300,City,,Marvell Police Department,Marvell,Marvell Police Department
AR0540400,City,,Elaine Police Department,Elaine,Elaine Police Dept
AR0550000,County,,Pike County Sheriff's Department,Pike,Pike County Sheriff's Office
AR0550100,City,,Murfreesboro Police Department,Murfreesboro,Murfreesboro Police Department
AR0550200,City,,Glenwood Police Department,Glenwood,Glenwood Police Department
AR0560000,County,,Poinsett County Sheriff's Department,Poinsett,Poinsett County Sheriff's Office
AR0560100,City,,Marked Tree Police Department,Marked Tree,Marked Tree Police Department
AR0560200,City,,Trumann Police Department,Trumann,Trumann Police Department
AR0560300,City,,Harrisburg Police Department,Harrisburg,Harrisburg Police Department
AR0560400,City,,Lepanto Police Department,Lepanto,Lepanto Police Department
AR0560500,City,,Tyronza Police Department,Tyronza,Tyronza Police Department
AR0560700,City,,Weiner Police Department,Weiner,Weiner Police Department
AR0570000,County,,Polk County Sheriff's Department,Polk,Polk County Sheriff's Office
AR0570100,City,,Mena Police Department,Mena,Mena Police Department
AR0580000,County,,Pope County Sheriff's Department,Pope,Pope County Sheriff's Office
AR0580100,City,,Russellville Police Department,Russellville,Russellville Police Department
AR0580200,City,,Atkins Police Department,Atkins,Atkins Police Department
AR0580400,University or College,,Arkansas Tech University,Arkansas Tech University,Arkansas Tech University Dept Of Public Safety
AR0580700,City,,Dover Police Department,Dover,Dover Police Department
AR0580900,City,,Hector Police Department,Hector,Hector Police Department
AR0581000,City,,Pottsville Police Department,Pottsville,Pottsville Police Department
AR0590000,County,,Prairie County Sheriff's Department,Prairie,Prairie County Sheriff's Office
AR0590100,City,,Hazen Police Department,Hazen,Hazen Police Department
AR0590200,City,,Des Arc Police Department,Des Arc,Des Arc Police Department
AR0590300,City,,De Valls Bluff Police Department,De Valls Bluff,Devalls Bluff Police Department
AR0600000,County,,Pulaski County Sheriff's Department,Pulaski,Pulaski County Sheriff's Office
AR0600100,City,,Jacksonville Police Department,Jacksonville,Jacksonville Police Department
AR0600200,City,,Little Rock Police Department,Little Rock,Little Rock Police Department
AR0600300,City,,North Little Rock Police Department,North Little Rock,North Little Rock Police Dept.
AR0600400,City,,Sherwood Police Department,Sherwood,Sherwood Police Department
AR0600500,University or College,,University of Arkansas: Little Rock,University of Arkansas: Little Rock,University Of Arkansas - Little Rock Dept Of Publi
AR0600700,City,,Alexander Police Department,Alexander,Alexander Police Department
AR0600800,City,,Cammack Village Police Department,Cammack Village,Cammack Village Police Department
AR0600900,University or College,,University of Arkansas: Medical Sciences,University of Arkansas: Medical Sciences,University Of Arkansas Medical Sciences Dept Of Pu
AR0601400,Other State Agency,,Camp Robinson,Camp Robinson,Camp Robinson Police Department
AR0601500,State Police,,"Highway Police, Little Rock","Highway Police, Little Rock",Arkansas Highway Police
AR0601600,City,,Maumelle Police Department,Maumelle,Maumelle Dept Of Public Safety
AR0601700,Other State Agency,,State Capitol Police,State Capitol Police,Arkansas State Capitol Police
AR0601800,Other State Agency,,Game and Fish Commission,Game and Fish Commission,Arkansas Game And Fish - Enforcement Division
AR0610000,County,,Randolph County Sheriff's Department,Randolph,Randolph County Sheriff's Office
AR0610100,City,,Pocahontas Police Department,Pocahontas,Pocahontas Police Department
AR0620000,County,,St. Francis County Sheriff's Department,St. Francis,St. Francis County Sheriff's Office
AR0620100,City,,Forrest City Police Department,Forrest City,Forrest City Police Department
AR0620200,City,,Hughes Police Department,Hughes,Hughes PD
AR0620600,City,,Madison  Police Department,Madison ,Madison Police Department
AR0630000,County,,Saline County Sheriff's Department,Saline,Saline County Sheriff's Office
AR0630100,City,,Benton Police Department,Benton,Benton Police Department
AR0630200,City,,Bryant Police Department,Bryant,Bryant Police Department
AR0630400,City,,Shannon Hills Police Department,Shannon Hills,Shannon Hills Police Department
AR0640000,County,,Scott County Sheriff's Department,Scott,Scott County Sheriff's Office
AR0640100,City,,Waldron Police Department,Waldron,Waldron Police Department
AR0650000,County,,Searcy County Sheriff's Department,Searcy,Searcy County Sheriff's Office
AR0660000,County,,Sebastian County Sheriff's Department,Sebastian,Sebastian County Sheriff's Office
AR0660100,City,,Fort Smith Police Department,Fort Smith,Fort Smith Police Department
AR0660200,City,,Greenwood Police Department,Greenwood,Greenwood Police Department
AR0660300,City,,Barling Police Department,Barling,Barling Police Department
AR0660600,City,,Hackett Police Department,Hackett,Hackett Police Department
AR0660700,City,,Mansfield Police Department,Mansfield,Mansfield Police Department
AR0661200,City,,Lavaca Police Department,Lavaca,Lavaca Police Department
AR0670000,County,,Sevier County Sheriff's Department,Sevier,Sevier County Sheriff's Office
AR0670100,City,,De Queen Police Department,De Queen,De Queen Police Department
AR0680000,County,,Sharp County Sheriff's Department,Sharp,Sharp County Sheriff's Office
AR0680100,City,,Cave City Police Department,Cave City,Cave City Police Department
AR0680200,City,,Hardy Police Department,Hardy,Hardy Police Department
AR0680300,City,,Ash Flat Police Department,Ash Flat,Ash Flat Police Department
AR0680400,City,,Cherokee Village Police Department,Cherokee Village,Cherokee Village Police Department
AR0680600,City,,Highland Police Department,Highland,Highland Police Dept
AR0690000,County,,Stone County Sheriff's Department,Stone,Stone County Sheriff's Office
AR0690100,City,,Mountain View Police Department,Mountain View,Mountain View Police Department
AR0700000,County,,Union County Sheriff's Department,Union,Union County Sheriff's Office
AR0700100,City,,El Dorado Police Department,El Dorado,El Dorado Police Department
AR0700200,City,,Smackover Police Department,Smackover,Smackover Police Department
AR0710000,County,,Van Buren County Sheriff's Department,Van Buren,Van Buren County Sheriff's Office
AR0710100,City,,Fairfield Bay Police Department,Fairfield Bay,Fairfield Bay Police Department
AR0710200,City,,Clinton Police Department,Clinton,Clinton Police Department
AR0710300,City,,Damascus Police Department,Damascus,Damascus Police Department
AR0720000,County,,Washington County Sheriff's Department,Washington,Washington County Sheriff's Office
AR0720100,City,,Fayetteville Police Department,Fayetteville,Fayetteville Police Department
AR0720200,City,,Springdale Police Department,Springdale,Springdale Police Department
AR0720300,City,,Prairie Grove Police Department,Prairie Grove,Prairie Grove Police Department
AR0720400,University or College,,University of Arkansas: Fayetteville,University of Arkansas: Fayetteville,University Of Arkanasas - Fayetteville Police
AR0720500,City,,Farmington Police Department,Farmington,Farmington Police Department
AR0720600,City,,Lincoln Police Department,Lincoln,Lincoln Police Department
AR0720700,City,,Greenland Police Department,Greenland,Greenland Police Department
AR0720800,City,,West Fork Police Department,West Fork,West Fork Police Department
AR0720900,City,,Johnson Police Department,Johnson,Johnson Police Department
AR0721000,City,,Elkins Police Department,Elkins,Elkins Police Department
AR0730000,County,,White County Sheriff's Department,White,White County Sheriff's Office
AR0730100,City,,Searcy Police Department,Searcy,Searcy Police Department
AR0730200,City,,Bald Knob Police Department,Bald Knob,Bald Knob Police Department
AR0730300,City,,Beebe Police Department,Beebe,Beebe Police Department
AR0730400,City,,Kensett Police Department,Kensett,Kensett Police Department
AR0730500,City,,Pangburn Police Department,Pangburn,Pangburn Police Department
AR0730600,City,,Rose Bud Police Department,Rose Bud,Rosebud Police Department
AR0730700,City,,Judsonia Police Department,Judsonia,Judsonia Police Department
AR0730800,City,,Bradford Police Department,Bradford,Bradford Police Department
AR0730900,City,,Higginson Police Department,Higginson,Higginson Police Department
AR0731000,City,,McRae Police Department,McRae,McRae Police Department
AR0731200,University or College,,Arkansas State University: Beebe,Arkansas State University: Beebe,Arkansas State University - Beebe Police
AR0740000,County,,Woodruff County Sheriff's Department,Woodruff,Woodruff County Sheriff's Office
AR0740100,City,,Augusta Police Department,Augusta,Augusta Police Department
AR0740200,City,,MccRory Police Department,MccRory,Mccrory Police Department
AR0740300,City,,Cotton Plant Police Department Police Department,Cotton Plant Police Department,Cotton Plant Police Department
AR0750000,County,,Yell County Sheriff's Department,Yell,Yell County Sheriff's Office
AR0750100,City,,Dardanelle Police Department,Dardanelle,Dardanelle Police Department
AR0750200,City,,Danville Police Department,Danville,Danville Police Department
AR0750300,City,,Ola Police Department,Ola,Ola Police Department
AR0750400,City,,Plainview Police Department,Plainview,Plainview Police Department
ARASP0000,State Police,,Arkansas State Police,Arkansas State Police,Arkansas State Police
ARASP0800,State Police,,"State Police, Jonesboro","State Police, Jonesboro",Sp Troop C Jonesboro
ARASP1000,State Police,,"State Police, Pine Bluff","State Police, Pine Bluff",Arkansas State Police
ARASP1800,State Police,,"State Police Headquarters, Little Rock","State Police Headquarters, Little Rock",Arkansas State Police
ARATFLR00,Federal,,"Bureau of Alcohol, Tobacco, Firearms and Explosives, Little Rock","Bureau of Alcohol, Tobacco, Firearms and Explosives, Little Rock",
ARDI00100,Unknown,,Fort Smith Nhs,Fort Smith Nhs,
ARDI00200,Unknown,,Hot Springs Np,Hot Springs Np,
ARDI00300,Unknown,,Pea Ridge Nmp,Pea Ridge Nmp,
ARDI00400,Unknown,,Arkansas Post Nmem,Arkansas Post Nmem,
ARDI00500,Unknown,,Buffalo Nr,Buffalo Nr,
AZ0010000,County,,Apache County Sheriff's Department,Apache,Apache County Sheriff's Office
AZ0010100,City,,Eagar Police Department,Eagar,Eagar Police Department
AZ0010300,City,,St. Johns Police Department,St. Johns,St. Johns Police Department
AZ0010500,City,,Springerville Police Department,Springerville,Springerville Police Department
AZ0018900,Tribal,,Navajo Nation,Navajo Nation,Navajo Nation Tribal Department Of Law Enforcement
AZ0020000,County,,Cochise County Sheriff's Department,Cochise,Cochise County Sheriff's Office
AZ0020100,City,,Benson Police Department,Benson,Benson Police Department
AZ0020300,City,,Bisbee Police Department,Bisbee,Bisbee Police Department
AZ0020500,City,,Douglas Police Department,Douglas,Douglas Police Department
AZ0020700,City,,Huachuca City Police Department,Huachuca City,Huachuca City Police Department
AZ0020900,City,,Sierra Vista Police Department,Sierra Vista,Sierra Vista Police Department
AZ0021100,City,,Tombstone Police Department,Tombstone,Tombstone Marshal's Office
AZ0021300,City,,Willcox Police Department,Willcox,Willcox Department Of Public Safety
AZ0030000,County,,Coconino County Sheriff's Department,Coconino,Coconino County Sheriff's Office
AZ0030100,City,,Flagstaff Police Department,Flagstaff,Flagstaff Police Department
AZ0030300,City,,Fredonia Police Department,Fredonia,Fredonia Marshal's Office
AZ0030700,City,,Williams Police Department,Williams,Williams Police Department
AZ0030800,City,,Page Police Department,Page,Page Police Department
AZ0031000,City,,Sedona Police Department,Sedona,Sedona PD Sedona
AZ0039700,University or College,,Northern Arizona University,Northern Arizona University,Northern Arizona University Police Department
AZ0039900,Other State Agency,,"Department of Public Safety, Flagstaff","Department of Public Safety, Flagstaff",Arizona Dept Of Public Safety Flagstaff
AZ0040000,County,,Gila County Sheriff's Department,Gila,Gila County Sheriff's Office
AZ0040100,City,,Globe Police Department,Globe,Globe Police Department
AZ0040300,City,,Hayden Police Department,Hayden,Hayden Police Department
AZ0040500,City,,Miami Police Department,Miami,Miami Police Department
AZ0040600,City,,Payson Police Department,Payson,Payson Police Department
AZ0040700,City,,Winkelman Police Department,Winkelman,Winkelman PD
AZ0048900,Tribal,,San Carlos Apache,San Carlos Apache,San Carlos Apache Tribal Police
AZ0050000,County,,Graham County Sheriff's Department,Graham,Graham County Sheriff's Office
AZ0050100,City,,Pima Police Department,Pima,Pima Police Department
AZ0050300,City,,Safford Police Department,Safford,Safford Police Department
AZ0050500,City,,Thatcher Police Department,Thatcher,Thatcher Police Department
AZ0059700,University or College,,Eastern Arizona College,Eastern Arizona College,Eastern Arizona College Police Department
AZ0060000,County,,Greenlee County Sheriff's Department,Greenlee,Greenlee County Sheriff's Office
AZ0060100,City,,Clifton Police Department,Clifton,Clifton Police Department
AZ0060300,City,,Duncan Police Department,Duncan,Duncan PD
AZ0070000,County,,Maricopa County Sheriff's Department,Maricopa,Maricopa County Sheriff's Office
AZ0070100,City,,Avondale Police Department,Avondale,Avondale Police Department
AZ0070300,City,,Buckeye Police Department,Buckeye,Buckeye Police Department
AZ0070500,City,,Chandler Police Department,Chandler,Chandler Police Department
AZ0070700,City,,El Mirage Police Department,El Mirage,El Mirage Police Department
AZ0070900,City,,Gila Bend Police Department,Gila Bend,Gila Bend PD
AZ0071100,City,,Gilbert Police Department,Gilbert,Gilbert Police Department
AZ0071300,City,,Glendale Police Department,Glendale,Glendale Police Department
AZ0071500,City,,Goodyear Police Department,Goodyear,Goodyear Police Department
AZ0071700,City,,Mesa Police Department,Mesa,Mesa Police Department
AZ0071900,City,,Paradise Valley Police Department,Paradise Valley,Paradise Valley Police Department
AZ0072100,City,,Peoria Police Department,Peoria,Peoria Police Department
AZ0072300,City,,Phoenix Police Department,Phoenix,Phoenix Police Department
AZ0072500,City,,Scottsdale Police Department,Scottsdale,Scottsdale Police Dept
AZ0072700,City,,Surprise Police Department,Surprise,Surprise Police Department
AZ0072900,City,,Tempe Police Department,Tempe,Tempe Police Department
AZ0073100,City,,Tolleson Police Department,Tolleson,Tolleson Police Department
AZ0073300,City,,Wickenburg Police Department,Wickenburg,Wickenburg Police Department
AZ0073500,City,,Youngtown Police Department,Youngtown,Youngtown Police Department
AZ0073900,City,,Guadalupe Police Department,Guadalupe,Guadalupe PD
AZ0074400,Other State Agency,,Arizona State Capitol,Arizona State Capitol,Arizona State Capitol Police
AZ0075700,University or College,,Arizona State University: West,Arizona State University: West,AZ State Univ West Dept Of Pub Safety Phoenix
AZ0078800,University or College,,Arizona State University: East,Arizona State University: East,AZ State University East Police Department
AZ0078900,Tribal,,Salt River Tribal,Salt River Tribal,Salt River Tribal Police Department
AZ0079500,Other State Agency,,"Department of Public Safety Headquarters, Phoenix","Department of Public Safety Headquarters, Phoenix",AZ Dept Public Safety Hpb Phoenix Headquarters
AZ0079700,University or College,,Arizona State University: Main Campus,Arizona State University: Main Campus,Arizona State University Police Department
AZ0079800,Other State Agency,,"Department of Public Safety, Phoenix","Department of Public Safety, Phoenix",AZ Department Of Public Safety D13 Phoenix
AZ0079900,Other State Agency,,"Department of Public Safety, Yuma","Department of Public Safety, Yuma",Arizona Dept Of Public Safety Hq Phoenix
AZ007B300,Tribal,,Fort McDowell Tribal,Fort McDowell Tribal,Fort Mcdowell Police Department
AZ0080000,County,,Mohave County Sheriff's Department,Mohave,Mohave County Sheriff's Office
AZ0080100,City,,Kingman Police Department,Kingman,Kingman Police Department
AZ0080300,Tribal,,Fort Mojave Tribal,Fort Mojave Tribal,Fort Mohave Tribal Police Department
AZ0080400,City,,Lake Havasu City Police Department,Lake Havasu City,Lake Havasu City Police Department
AZ0080500,City,,Bullhead City Police Department,Bullhead City,Bullhead City Police Department
AZ0080600,City,,Colorado City Police Department,Colorado City,Colorado City Marshal's Office
AZ0080700,Tribal,,Kaibab Paiute Tribal,Kaibab Paiute Tribal,Southern Pauite Field Station
AZ0090000,County,,Navajo County Sheriff's Department,Navajo,Navajo County Sheriff's Office
AZ0090100,City,,Holbrook Police Department,Holbrook,Holbrook Police Department
AZ0090300,City,,Show Low Police Department,Show Low,Show Low Police Department
AZ0090500,City,,Snowflake-Taylor Police Department,Snowflake-Taylor,Snowflake-Taylor Police Department
AZ0090700,City,,Taylor Police Department,Taylor,Taylor PD
AZ0090900,City,,Winslow Police Department,Winslow,Winslow Police Department
AZ0091300,City,,Pinetop-Lakeside Police Department,Pinetop-Lakeside,Pinetop/Lakeside Police Department
AZ0091400,Tribal,,Navajo Division of Public Safety,Navajo Division of Public Safety,Navajo Division Of Public Safety Kayenta
AZ0098900,Tribal,,White Mountain Apache Tribal,White Mountain Apache Tribal,White Mountain Apache Tribal Police Department
AZ0100000,County,,Pima County Sheriff's Department,Pima,Pima County Sheriff's Dept.
AZ0100100,City,,South Tucson Police Department,South Tucson,South Tucson Police Dept.
AZ0100300,City,,Tucson Police Department,Tucson,Tucson Police Department
AZ0100400,City,,Sahuarita Police Department,Sahuarita,Sahuarita Police Dept
AZ0100600,City,,Ajo Police Department,Ajo,Ajo
AZ0100700,City,,Oro Valley Police Department,Oro Valley,Oro Valley Police Department
AZ0100900,City,,Marana Police Department,Marana,Marana Police Department
AZ0101000,Other,,Tucson Airport Authority,Tucson Airport Authority,Tucson Airport Authority Police Department
AZ0101200,Tribal,,Tohono O'odham Nation,Tohono O'odham Nation,Tohono O'Odham Tribal Police
AZ0109700,University or College,,University of Arizona,University of Arizona,University Of Arizona Police Department
AZ0109800,University or College,,Pima Community College,Pima Community College,Pima Community College Dept Of Public Safety
AZ0109900,Other State Agency,,"Department of Public Safety, Tucson","Department of Public Safety, Tucson",Arizona Dept Of Public Safety Tucson
AZ0110000,County,,Pinal County Sheriff's Department,Pinal,Pinal County Sheriff's Office
AZ0110100,City,,Casa Grande Police Department,Casa Grande,Casa Grande Police Department
AZ0110300,City,,Coolidge Police Department,Coolidge,Coolidge Police Department
AZ0110500,City,,Eloy Police Department,Eloy,Eloy Police Department
AZ0110700,City,,Florence Police Department,Florence,Florence Police Department
AZ0110900,City,,Kearny Police Department,Kearny,Kearny Police Department
AZ0111100,City,,Mammoth Police Department,Mammoth,Mammoth Police Department
AZ0111200,City,,Superior Police Department,Superior,Superior Police Department
AZ0111300,City,,Apache Junction Police Department,Apache Junction,Apache Junction Police Department
AZ0111500,Tribal,,Gila River Indian Community,Gila River Indian Community,Gila River Tribal Police Department
AZ0111700,City,,Maricopa Police Department,Maricopa,Maricopa Police Department
AZ0119700,University or College,,Central Arizona College,Central Arizona College,Central Arizona College Police Department
AZ0120000,County,,Santa Cruz County Sheriff's Department,Santa Cruz,Santa Cruz County Sheriff's Office
AZ0120100,City,,Nogales Police Department,Nogales,Nogales Police Department
AZ0120300,City,,Patagonia Police Department,Patagonia,Patagonia Police Department
AZ0130000,County,,Yavapai County Sheriff's Department,Yavapai,Yavapai County Sheriff's Office
AZ0130100,City,,Clarkdale Police Department,Clarkdale,Clarkdale Police Department
AZ0130300,City,,Cottonwood Police Department,Cottonwood,Cottonwood Police Department
AZ0130500,City,,Jerome Police Department,Jerome,Jerome Police Department
AZ0130700,City,,Prescott Police Department,Prescott,Prescott Police Department
AZ0130800,University or College,,Yavapai College,Yavapai College,Yavapai Community College Police Department
AZ0131100,City,,Prescott Valley Police Department,Prescott Valley,Prescott Valley Police Department
AZ0131200,City,,Chino Valley Police Department,Chino Valley,Chino Valley Police Department
AZ0131300,City,,Camp Verde Police Department,Camp Verde,Camp Verde Marshal's Office
AZ0131400,City,,Sedona Police Department,Sedona,Sedona Police Department
